DOUBLES (AABC) — HIT LOG (DATE SORTED) — QUALIFIED FAMILIES ONLY
Each row is one AABC hit in a stream. Member is boxkey4 (sorted digits). fixed_rank is 1–78 family stream rank.
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday) | Qualified families: 56
--------------------------------------------------------------------------------------------------------------------------------------------
DATE       FAM MEM  STREAM                                   FIX 60H 60/WK  90H 90/WK  180H 180/WK 
2023-02-03 012 0122 Ontario - Pick 4 Midday                   NA 023   2.68 030   2.33  049    1.91
2023-02-03 016 0016 Rhode Island - Numbers Game Evening       NA 025   2.92 031   2.41  055    2.14
2023-02-03 056 0056 Delaware - Play 4 Night                   NA 016   1.87 024   1.87  052    2.02
2023-02-03 059 0059 Kentucky - Pick 4 Evening                 NA 019   2.22 031   2.41  047    1.83
2023-02-03 068 0068 Mississippi - Cash 4 Evening              NA 023   2.68 037   2.88  057    2.22
2023-02-03 135 1335 Tennessee - Cash 4 Evening                26 023   2.68 030   2.33  051    1.98
2023-02-03 238 2388 West Virginia - Daily 4                   75 019   2.22 030   2.33  047    1.83
2023-02-03 278 2278 Idaho - Pick 4 Day                        64 028   3.27 037   2.88  057    2.22
2023-02-03 345 3455 Atlantic Canada - Lotto 4                 13 019   2.22 028   2.18  051    1.98
2023-02-03 457 4457 Michigan - Daily 4 Evening                28 024   2.80 035   2.72  054    2.10
2023-02-03 457 4457 Mississippi - Cash 4 Midday               49 024   2.80 035   2.72  054    2.10
2023-02-03 567 5667 Texas - Daily 4 Day                       02 019   2.22 028   2.18  043    1.67
2023-02-03 589 5889 Michigan - Daily 4 Midday                 06 014   1.63 026   2.02  054    2.10
2023-02-03 679 6679 Connecticut - Play 4 Night                25 017   1.98 031   2.41  046    1.79
2023-02-03 679 6799 New Mexico - Pick 4 Day                   74 017   1.98 031   2.41  046    1.79
2023-02-04 018 0188 Kentucky - Pick 4 Evening                 NA 023   2.68 034   2.64  061    2.37
2023-02-04 023 0223 Oregon - Pick 4 10pm                      NA 013   1.52 023   1.79  052    2.02
2023-02-04 048 0448 Tri-State (ME, NH & VT) - Pick 4 Day      NA 021   2.45 031   2.41  059    2.29
2023-02-04 149 1449 Connecticut - Play 4 Day                  60 018   2.10 025   1.94  043    1.67
2023-02-04 236 2366 North Carolina - Pick 4 Daytime           77 018   2.10 029   2.26  047    1.83
2023-02-04 245 2455 Wisconsin - Pick 4 Midday                 17 013   1.52 031   2.41  052    2.02
2023-02-04 249 2499 Connecticut - Play 4 Night                01 021   2.45 033   2.57  060    2.33
