core_family,Member,repeat_digit,trait,value,trait_member_hits,trait_core_hits,baseline_member_rate,trait_member_rate,lift,lift_diff
17,1107,1,seed_prime_count,2,44,98,0.36156351791530944,0.4489795918367347,1.2417723846295274,0.08741607392142525
17,0017,0,seed_sum_lastdigit,1,13,31,0.34201954397394135,0.41935483870967744,1.2261136712749616,0.07733529473573608
17,7701,7,seed_spread_band,0-3,17,47,0.2964169381107492,0.3617021276595745,1.220247837269114,0.06528518954882528
17,1107,1,seed_sum_lastdigit,8,14,32,0.36156351791530944,0.4375,1.2100225225225225,0.07593648208469056
17,7701,7,seed_sum_lastdigit,1,11,31,0.2964169381107492,0.3548387096774194,1.197093229351294,0.058421771566670166
17,7701,7,seed_sum_lastdigit,0,13,37,0.2964169381107492,0.35135135135135137,1.1853281853281854,0.054934413240602165
17,0017,0,seed_spread_band,4-6,51,126,0.34201954397394135,0.40476190476190477,1.1834467120181407,0.06274236078796341
17,0017,0,seed_high_count,1,31,77,0.34201954397394135,0.4025974025974026,1.177118119975263,0.06057785862346127
17,1107,1,seed_consecutive_pairs,2,22,52,0.36156351791530944,0.4230769230769231,1.1701316701316702,0.06151340516161363
17,7701,7,seed_structure,AABC,48,140,0.2964169381107492,0.34285714285714286,1.1566718995290424,0.046440204746393654
17,7701,7,seed_unique_count,3,48,140,0.2964169381107492,0.34285714285714286,1.1566718995290424,0.046440204746393654
17,0017,0,seed_mirror_pairs_any,yes,56,142,0.34201954397394135,0.39436619718309857,1.1530516431924882,0.05234665320915721
17,1107,1,seed_even_count,2,47,113,0.36156351791530944,0.415929203539823,1.1503627521326636,0.05436568562451355
17,7701,7,seed_trail_band,4-6,30,88,0.2964169381107492,0.3409090909090909,1.1500999000999,0.04449215279834168
17,1107,1,seed_mirror_pairs_any,yes,59,142,0.36156351791530944,0.4154929577464789,1.1491561984519731,0.053929439831169435
17,7701,7,seed_prime_count,3,17,50,0.2964169381107492,0.34,1.147032967032967,0.04358306188925082
17,0017,0,seed_even_count,3,32,82,0.34201954397394135,0.3902439024390244,1.1409988385598142,0.04822435846508305
17,1107,1,seed_lead_band,4-6,38,93,0.36156351791530944,0.40860215053763443,1.1300978397752592,0.047038632622324994
17,1107,1,seed_structure,ABCD,60,147,0.36156351791530944,0.40816326530612246,1.1288839860268431,0.04659974739081302
17,1107,1,seed_unique_count,4,60,147,0.36156351791530944,0.40816326530612246,1.1288839860268431,0.04659974739081302
17,1107,1,seed_repeat_digit,none,60,147,0.36156351791530944,0.40816326530612246,1.1288839860268431,0.04659974739081302
17,0017,0,seed_consecutive_pairs,2,20,52,0.34201954397394135,0.38461538461538464,1.1245421245421245,0.04259584064144328
17,7701,7,seed_lead_band,7-9,30,90,0.2964169381107492,0.3333333333333333,1.1245421245421243,0.03691639522258411
17,0017,0,seed_vtrac_unique,2,28,73,0.34201954397394135,0.3835616438356164,1.1214611872146119,0.041542099861675064
17,1107,1,seed_trail_band,7-9,39,97,0.36156351791530944,0.4020618556701031,1.1120089161326274,0.04049833775479367
17,0017,0,seed_prime_count,3,19,50,0.34201954397394135,0.38,1.111047619047619,0.03798045602605865
17,1107,1,seed_high_count,2,48,120,0.36156351791530944,0.4,1.1063063063063063,0.03843648208469058
